productividad,edad,sexo,hijos,años_empresa,satisfaccion_equipo,horas_formacion_mes,distancia_oficina_km,departamento,estres_reportado,bono_anual,jornada_continua
24,37,Hombre,Sí,24,10,0.5,7.0,Marketing,9,0.5,Sí
26,36,No binario,No,17,10,11.5,1.7,IT,9,1.6,No
29,65,Mujer,Sí,9,10,4.5,7.2,IT,4,1.6,No
26,24,Mujer,No,1,3,7.9,6.8,IT,9,0.4,No
32,58,Hombre,No,25,10,10.4,1.4,Ventas,10,2.7,No
25,28,Hombre,No,29,6,9.1,6.5,Ventas,1,5.2,No
22,42,Hombre,Sí,8,1,5.1,6.9,Ventas,5,4.1,No
28,30,Mujer,No,13,5,3.9,2.5,RRHH,1,2.7,No
33,60,Hombre,No,18,10,3.8,1.2,IT,4,5.2,Sí
27,39,Mujer,Sí,30,6,8.2,3.7,Ventas,5,4.1,No
27,25,Mujer,No,9,8,5.5,12.7,Marketing,3,0.9,No
29,46,Hombre,Sí,22,9,15.1,5.1,IT,2,4.3,No
30,35,Mujer,Sí,3,3,16.6,0.9,IT,6,11.6,Sí
24,30,Hombre,No,28,2,1.5,5.7,Ventas,3,5.8,No
17,47,No binario,Sí,28,4,1.2,2.8,IT,10,2.0,No
33,23,Mujer,No,5,8,8.0,4.5,Operaciones,1,4.8,Sí
24,41,Hombre,Sí,13,8,2.9,6.6,Ventas,5,10.0,No
23,49,Hombre,No,3,3,0.1,3.6,IT,2,7.7,No
23,28,Hombre,No,25,4,17.6,8.4,Ventas,2,1.1,No
26,65,Mujer,No,14,3,2.1,6.4,Ventas,4,4.7,Sí
33,29,Mujer,Sí,15,10,21.2,4.8,IT,4,3.5,No
26,56,Mujer,Sí,6,2,10.1,0.8,RRHH,4,9.8,Sí
26,35,Hombre,No,16,4,11.5,9.0,Operaciones,7,6.7,No
26,38,Hombre,Sí,18,6,1.8,13.7,Ventas,1,2.3,No
27,57,Hombre,Sí,28,5,2.1,0.7,IT,8,2.1,Sí
20,61,Mujer,No,18,3,5.9,3.3,Marketing,10,10.4,No
19,25,Mujer,No,16,2,1.5,1.5,IT,9,1.8,No
23,23,Hombre,No,5,9,2.9,7.0,IT,10,1.0,No
18,27,Hombre,Sí,30,1,3.1,6.4,Ventas,6,6.5,No
29,63,Mujer,Sí,28,9,1.4,0.8,IT,4,3.2,No
21,25,Mujer,Sí,10,1,1.8,10.5,IT,6,4.8,Sí
27,50,Mujer,No,15,7,12.4,1.0,RRHH,10,3.8,Sí
22,39,Mujer,No,29,6,1.5,8.0,RRHH,7,5.0,No
26,47,Hombre,No,24,7,0.2,3.1,Ventas,6,2.4,Sí
22,65,Hombre,No,7,3,7.9,2.0,Ventas,1,3.2,Sí
32,55,Mujer,No,10,3,29.8,0.9,Operaciones,5,3.0,No
21,31,Mujer,No,6,1,3.2,0.9,IT,8,2.1,Sí
21,57,Hombre,Sí,25,4,1.0,5.4,Operaciones,8,7.2,Sí
19,35,Mujer,No,23,2,6.8,4.0,Ventas,10,1.8,Sí
32,52,Mujer,No,21,10,18.9,0.7,IT,9,1.9,Sí
30,36,Mujer,No,24,8,12.3,0.6,IT,4,3.0,No
21,29,Mujer,No,18,3,7.8,0.4,Operaciones,10,4.7,Sí
26,35,Hombre,No,30,7,3.0,6.8,Ventas,6,2.4,No
23,44,Mujer,No,25,7,6.2,6.2,Ventas,7,2.5,No
26,61,Mujer,No,9,9,0.8,0.3,IT,5,8.9,No
27,42,Mujer,No,8,6,9.1,4.1,Operaciones,8,10.1,Sí
22,37,Mujer,Sí,3,1,10.3,0.4,Operaciones,3,6.1,No
32,39,Mujer,Sí,22,8,26.8,11.7,Operaciones,8,2.9,No
22,45,Hombre,No,14,1,2.4,11.9,Operaciones,5,1.9,Sí
28,47,Mujer,No,12,3,0.1,6.0,Ventas,1,4.3,Sí
25,46,Mujer,Sí,24,5,6.3,13.0,Ventas,6,0.8,No
30,62,Mujer,No,1,8,9.8,8.3,Ventas,2,0.3,No
29,50,Mujer,Sí,1,9,12.5,8.8,IT,7,2.2,No
19,36,Mujer,Sí,15,7,1.7,4.2,RRHH,9,2.1,No
29,22,Hombre,No,8,9,2.4,1.8,Operaciones,3,5.3,Sí
23,46,Mujer,Sí,27,3,5.7,1.2,Ventas,10,3.3,No
25,28,Hombre,Sí,12,5,3.2,2.0,Marketing,4,3.3,Sí
32,30,Hombre,Sí,2,10,15.8,5.0,Operaciones,4,1.0,No
29,45,Mujer,No,8,8,5.1,0.9,IT,4,2.1,Sí
26,22,Mujer,No,12,1,12.9,1.5,Ventas,3,6.3,Sí
30,65,Hombre,No,30,8,7.0,3.2,IT,5,3.7,No
24,29,Hombre,No,20,7,11.9,1.3,IT,9,2.5,No
21,45,Mujer,Sí,21,1,3.2,4.4,IT,8,2.8,No
30,32,Hombre,No,1,10,14.2,12.8,IT,10,2.9,No
30,38,Hombre,Sí,7,10,2.6,6.9,Ventas,2,4.2,Sí
22,29,Hombre,No,26,6,6.3,5.5,Operaciones,9,14.6,No
18,56,Hombre,No,8,1,1.9,4.4,IT,10,0.6,No
24,56,Hombre,No,15,2,5.2,3.3,IT,2,1.3,No
21,54,Hombre,Sí,1,5,3.1,1.0,Operaciones,7,2.8,No
19,26,Hombre,No,5,2,2.5,11.3,Ventas,5,2.4,Sí
37,63,Mujer,Sí,21,10,27.3,1.4,Ventas,7,3.4,Sí
18,60,Mujer,Sí,7,1,1.4,0.5,RRHH,5,1.5,No
32,62,Mujer,No,25,6,12.4,6.9,IT,6,4.6,No
35,49,Hombre,Sí,27,8,30.0,1.0,RRHH,8,1.2,Sí
31,28,Hombre,No,4,8,0.2,2.3,IT,1,2.9,No
31,30,Mujer,Sí,8,8,9.6,0.1,Ventas,1,5.7,No
23,29,Hombre,Sí,0,6,2.3,0.7,IT,5,7.5,No
22,33,Mujer,No,8,3,0.3,1.0,Ventas,1,2.5,Sí
23,55,Mujer,No,9,1,4.1,0.3,RRHH,3,6.0,Sí
28,54,Mujer,No,22,2,21.9,5.3,Marketing,10,2.0,Sí
16,44,Hombre,No,3,5,0.1,9.1,Operaciones,9,3.5,No
29,45,Hombre,No,2,10,7.1,2.3,RRHH,7,1.4,Sí
25,58,Mujer,Sí,29,5,5.6,10.4,Ventas,6,2.7,No
32,56,Hombre,No,9,10,16.5,1.2,RRHH,8,2.8,Sí
24,65,Mujer,No,14,1,0.7,2.0,Marketing,8,5.6,No
17,61,Mujer,No,10,1,9.2,0.8,Marketing,6,1.8,No
33,43,No binario,No,13,9,9.1,4.8,RRHH,4,1.8,Sí
24,48,Hombre,No,5,2,8.8,2.7,IT,4,4.5,No
30,56,Mujer,No,11,7,22.8,4.8,IT,4,4.2,No
29,22,Mujer,No,12,10,13.9,7.2,Marketing,6,5.0,No
26,56,Hombre,Sí,16,4,0.3,3.9,IT,1,1.5,No
27,58,Hombre,Sí,15,7,5.1,4.9,Ventas,2,0.6,No
22,35,Mujer,No,2,8,4.1,13.7,Marketing,6,4.4,No
27,24,Hombre,Sí,1,5,3.0,1.8,Ventas,1,0.9,No
20,22,Hombre,No,10,1,4.8,2.2,Ventas,9,1.4,No
19,26,Hombre,Sí,28,4,3.9,6.3,Ventas,6,2.6,Sí
29,47,Mujer,No,8,10,4.5,4.7,Marketing,7,1.1,No
34,35,Mujer,Sí,2,3,30.0,1.0,IT,1,3.0,No
31,60,Mujer,Sí,28,10,0.7,2.4,RRHH,8,2.7,No
34,48,Hombre,No,17,5,20.4,3.2,IT,5,1.6,Sí
34,30,Hombre,No,19,10,5.2,2.7,IT,5,6.7,No
31,36,Mujer,No,14,10,7.8,1.0,IT,6,0.5,No
27,36,Mujer,No,13,6,14.2,12.9,Marketing,7,1.5,No
22,47,Hombre,No,1,2,3.6,7.2,IT,7,4.5,No
27,63,Mujer,No,16,7,4.5,3.3,Operaciones,5,2.5,No
23,34,No binario,No,21,3,4.2,5.7,Operaciones,1,2.0,No
18,53,Mujer,Sí,30,1,3.8,11.4,RRHH,9,3.4,No
35,60,Mujer,No,25,10,20.8,0.7,Operaciones,6,2.3,No
25,53,Mujer,No,7,3,14.1,1.4,IT,9,4.9,No
26,25,Hombre,No,9,9,0.9,3.9,IT,4,5.3,Sí
32,51,Mujer,Sí,25,10,0.9,8.0,Marketing,2,7.7,Sí
26,58,No binario,No,17,6,4.5,0.2,Marketing,3,5.4,No
25,44,Hombre,No,29,6,0.8,20.7,Operaciones,4,1.1,No
24,60,Mujer,No,24,4,7.7,3.0,Marketing,10,5.1,No
23,36,Mujer,Sí,30,8,1.2,2.2,Operaciones,8,2.0,No
35,64,Mujer,No,28,5,5.9,1.7,IT,3,3.7,No
22,50,Mujer,Sí,18,7,0.1,1.0,RRHH,8,4.3,No
25,57,Mujer,Sí,7,9,3.0,7.8,Marketing,6,1.7,No
25,34,Mujer,No,27,5,9.0,15.6,Marketing,4,2.6,No
19,53,Hombre,No,7,5,5.3,2.7,IT,7,2.3,No
32,28,Mujer,No,30,4,30.0,15.2,RRHH,5,2.1,Sí
28,43,Hombre,No,2,6,16.6,8.7,Operaciones,5,5.1,Sí
22,49,Hombre,Sí,2,2,3.6,3.3,Ventas,9,0.5,No
19,23,Hombre,Sí,11,3,0.4,5.6,Marketing,3,1.4,No
28,63,Mujer,No,30,1,14.9,2.9,IT,10,5.5,Sí
29,27,Hombre,Sí,21,2,19.4,4.1,Operaciones,4,3.0,No
26,49,Mujer,Sí,16,2,13.7,0.3,IT,5,2.8,No
25,49,Mujer,Sí,3,8,1.1,6.0,Ventas,1,7.5,No
33,65,Mujer,Sí,16,8,30.0,0.3,IT,7,3.4,Sí
15,65,Hombre,No,13,2,2.4,8.5,Marketing,8,2.6,No
26,41,Mujer,Sí,18,6,10.3,8.7,Ventas,6,5.3,Sí
24,51,Mujer,No,8,5,19.1,1.4,Marketing,9,5.0,Sí
22,32,Mujer,Sí,29,3,2.2,2.0,Operaciones,3,7.0,Sí
31,49,Hombre,No,29,5,19.1,3.3,Operaciones,2,5.2,No
26,46,Hombre,Sí,20,5,3.0,4.5,Ventas,5,1.5,Sí
28,60,Hombre,No,11,5,30.0,1.7,Operaciones,9,7.8,Sí
23,54,Hombre,No,4,3,2.6,4.5,Marketing,1,1.4,Sí
31,22,Hombre,Sí,10,3,24.5,1.8,Ventas,1,11.2,No
21,48,Mujer,No,19,4,0.4,0.3,Ventas,10,5.6,No
25,34,Hombre,Sí,2,7,9.9,0.0,Ventas,3,6.8,Sí
23,62,Hombre,No,20,2,6.1,0.5,RRHH,10,1.2,No
25,24,Hombre,Sí,14,10,5.2,7.9,Ventas,3,5.4,No
20,60,Hombre,No,13,4,2.0,16.3,Ventas,5,1.2,Sí
25,27,Hombre,Sí,10,4,9.8,2.8,RRHH,4,2.5,Sí
26,29,Hombre,No,19,1,1.7,3.6,IT,6,0.3,Sí
26,48,Hombre,Sí,7,10,6.4,0.8,RRHH,8,1.5,No
24,30,Mujer,Sí,3,8,2.3,4.0,Marketing,8,0.8,No
33,58,No binario,No,26,1,24.9,0.8,Ventas,4,2.3,Sí
27,54,Hombre,No,11,8,0.2,4.7,Operaciones,1,3.6,Sí
23,63,Hombre,Sí,7,7,1.8,13.5,Ventas,7,3.1,No
21,65,Mujer,Sí,5,9,2.2,1.1,IT,6,13.4,No
28,45,Hombre,Sí,14,8,4.3,7.2,Marketing,5,4.1,No
25,36,Hombre,Sí,29,5,2.1,0.1,Ventas,4,4.5,Sí
26,53,Mujer,Sí,11,8,5.4,2.4,Operaciones,6,4.3,No
33,53,Hombre,No,15,10,16.5,0.6,IT,8,2.1,Sí
28,45,Mujer,Sí,15,3,10.0,2.2,Ventas,6,1.9,No
34,62,Mujer,Sí,26,10,6.9,1.0,Operaciones,3,3.1,Sí
25,33,Hombre,No,20,7,0.7,2.3,IT,9,3.3,Sí
27,60,Hombre,Sí,19,4,9.5,2.7,Marketing,3,2.7,No
18,23,Mujer,Sí,19,5,1.5,1.8,IT,4,6.2,No
24,24,Hombre,Sí,27,9,12.3,5.3,RRHH,5,5.1,No
24,58,Hombre,No,3,7,2.3,12.6,Ventas,2,3.7,Sí
18,38,Mujer,Sí,10,4,4.3,2.6,IT,10,2.1,No
20,23,Mujer,No,12,6,3.5,1.1,IT,10,1.3,No
28,23,Hombre,Sí,28,10,15.7,1.6,Ventas,2,4.6,No
24,49,Mujer,No,8,7,1.1,9.6,Marketing,6,3.4,No
32,44,Hombre,Sí,3,10,6.7,4.2,IT,2,4.5,Sí
27,58,Mujer,No,11,9,1.2,3.0,IT,10,6.4,No
29,53,Mujer,No,8,4,9.8,0.8,Ventas,1,1.1,No
32,54,Mujer,No,12,10,18.8,3.0,Marketing,8,5.1,No
16,22,Mujer,Sí,15,3,4.6,1.6,RRHH,10,1.0,No
26,40,No binario,Sí,25,8,5.4,14.3,IT,10,5.5,No
26,23,Hombre,Sí,5,1,21.0,10.8,IT,1,3.2,No
25,65,Mujer,Sí,9,9,5.9,0.4,Ventas,10,3.7,No
21,47,Hombre,Sí,12,1,5.3,3.6,Marketing,6,6.2,No
21,53,Hombre,No,6,2,6.9,1.3,Ventas,1,0.9,No
22,27,Hombre,Sí,27,8,9.3,2.6,IT,8,0.3,No
29,53,Mujer,No,25,9,0.9,10.5,Marketing,5,7.2,No
29,25,No binario,No,18,7,13.8,3.7,Operaciones,3,8.4,Sí
30,32,Hombre,No,23,3,4.6,2.0,IT,5,5.1,Sí
25,38,Hombre,Sí,18,7,0.6,1.2,RRHH,1,3.7,No
29,59,Mujer,No,16,6,12.3,8.1,IT,1,2.0,Sí
22,45,Hombre,Sí,12,2,3.8,4.9,Operaciones,4,4.0,No
18,26,Hombre,No,12,3,0.8,3.2,IT,9,2.9,No
25,55,Mujer,No,25,10,8.0,1.2,IT,9,6.4,No
33,27,Mujer,No,27,10,17.0,2.0,Operaciones,1,2.8,No
32,43,No binario,No,20,5,17.5,16.1,Ventas,3,4.2,No
37,32,Hombre,Sí,1,10,25.3,3.7,Ventas,4,0.4,No
29,37,Hombre,Sí,9,4,16.2,2.6,Ventas,2,3.9,No
22,54,Mujer,No,29,2,0.0,3.7,RRHH,7,10.0,No
24,30,Mujer,Sí,21,4,3.8,7.5,Ventas,3,2.3,Sí
30,27,Mujer,No,12,8,13.7,2.1,Operaciones,1,0.9,No
25,37,Mujer,Sí,25,5,3.6,1.0,IT,1,3.5,Sí
29,50,Hombre,Sí,8,5,7.4,4.4,Ventas,3,6.3,No
32,24,Mujer,Sí,0,10,7.5,5.5,IT,6,5.1,No
24,41,Hombre,Sí,13,3,3.6,6.2,Ventas,4,12.7,No
36,57,Hombre,No,28,8,18.8,10.7,Marketing,1,3.6,Sí
26,40,Mujer,No,15,6,5.6,2.3,Marketing,7,6.8,No
24,47,Hombre,No,19,2,5.0,0.4,IT,2,1.9,No
27,24,Hombre,No,14,2,30.0,15.9,Ventas,5,0.5,No
26,40,Mujer,No,0,9,5.4,2.9,Marketing,8,1.6,No
25,41,Hombre,No,16,7,1.6,4.9,RRHH,7,2.1,No
28,53,Mujer,Sí,23,10,5.8,5.5,Marketing,8,2.8,Sí
25,28,Hombre,No,29,9,13.5,4.0,RRHH,10,6.1,No
33,62,Mujer,Sí,29,6,12.0,1.1,Ventas,6,2.3,No
21,54,Hombre,Sí,12,5,12.4,7.0,Operaciones,7,4.6,No
26,61,Hombre,No,29,1,9.8,8.1,IT,9,3.8,No
27,60,No binario,Sí,26,6,2.3,4.0,Ventas,6,3.8,Sí
25,39,Mujer,Sí,14,6,15.8,3.4,RRHH,9,4.6,No
29,61,Mujer,Sí,15,3,17.9,0.6,Operaciones,2,4.2,Sí
21,22,Hombre,Sí,15,3,1.7,0.4,Marketing,2,1.3,No
27,32,Mujer,No,1,3,1.1,2.1,Ventas,2,2.5,Sí
31,49,Mujer,Sí,16,3,29.7,1.9,IT,6,1.2,Sí
29,46,Mujer,Sí,10,7,16.2,15.4,IT,2,2.6,No
35,44,Mujer,No,7,10,17.9,7.7,Operaciones,3,2.7,No
24,52,Hombre,Sí,19,2,17.4,5.4,Ventas,8,4.9,No
29,51,Hombre,No,2,10,6.2,3.6,RRHH,8,4.4,Sí
33,63,Mujer,Sí,28,10,8.3,0.9,IT,4,6.6,No
17,56,Hombre,No,11,2,6.3,19.2,RRHH,9,0.2,No
21,28,Hombre,No,19,3,0.4,2.4,Operaciones,8,3.9,Sí
29,37,Mujer,No,15,10,10.9,0.6,IT,1,5.7,Sí
26,47,Mujer,No,13,7,5.6,3.4,IT,8,3.8,Sí
22,23,Mujer,No,15,3,8.3,10.4,RRHH,1,0.6,No
17,22,Mujer,Sí,26,7,5.6,10.9,IT,4,6.2,No
24,33,Mujer,Sí,20,9,5.4,0.1,Marketing,10,5.6,No
28,26,Hombre,Sí,16,10,1.5,10.9,Marketing,6,1.7,Sí
26,58,Hombre,No,30,4,2.6,1.6,Ventas,7,1.2,Sí
27,53,Hombre,Sí,29,7,1.4,0.2,RRHH,10,2.9,No
26,30,Hombre,Sí,10,9,1.7,9.4,Ventas,4,7.2,No
33,62,Mujer,Sí,16,8,28.9,10.0,Operaciones,8,9.5,No
22,56,Hombre,Sí,18,8,1.3,4.5,IT,8,7.8,No
26,40,Hombre,Sí,21,9,2.5,4.3,Marketing,9,2.4,No
26,37,Hombre,No,0,5,7.1,8.4,IT,6,2.0,No
21,24,Hombre,No,29,5,7.5,7.7,IT,4,4.6,No
20,41,Hombre,No,26,3,1.3,11.0,IT,2,4.8,No
24,45,Hombre,No,11,5,12.6,4.0,Marketing,7,6.3,Sí
29,54,Hombre,Sí,14,8,12.3,17.2,IT,10,5.4,No
21,45,Hombre,Sí,17,5,2.2,27.8,Operaciones,3,1.2,No
25,32,Hombre,Sí,30,4,2.7,0.6,IT,3,1.3,No
28,29,Mujer,Sí,27,8,22.2,9.5,Marketing,3,1.5,No
33,57,Hombre,No,29,7,14.0,3.5,RRHH,4,4.0,Sí
38,59,Hombre,Sí,22,6,9.6,2.5,Ventas,2,5.9,Sí
21,61,Mujer,Sí,13,5,0.7,4.7,IT,5,6.0,No
25,41,Hombre,No,29,5,4.3,0.3,IT,3,3.1,Sí
24,56,Mujer,No,0,10,6.6,3.5,IT,10,0.2,No
17,46,Mujer,No,12,2,1.7,10.2,IT,5,3.5,No
24,56,Hombre,No,29,4,4.8,1.2,Marketing,7,4.2,No
26,46,Mujer,No,14,8,7.4,2.8,Ventas,9,4.7,No
29,50,Hombre,Sí,6,8,3.2,14.0,Marketing,2,1.0,No
23,39,Mujer,No,14,1,12.1,2.8,Operaciones,9,10.5,No
24,39,Hombre,Sí,19,2,14.7,2.2,IT,10,0.9,Sí
28,23,Mujer,No,9,5,3.1,2.9,Marketing,6,3.0,No
32,56,Hombre,No,13,9,14.6,3.7,Ventas,6,1.4,No
31,37,Mujer,Sí,5,10,0.9,5.0,Operaciones,3,1.1,No
28,62,Mujer,No,13,7,14.5,8.1,IT,10,6.1,No
32,57,Hombre,No,23,10,1.3,3.0,Marketing,9,7.5,Sí
27,54,Hombre,Sí,24,5,0.7,8.5,Operaciones,4,6.9,No
23,25,Mujer,No,21,1,8.2,3.8,IT,5,2.1,Sí
28,54,Mujer,Sí,11,6,5.1,2.1,Marketing,3,2.5,Sí
36,35,Hombre,No,10,8,19.1,5.4,IT,5,3.8,Sí
25,42,Mujer,No,28,7,3.6,6.3,Ventas,8,3.8,Sí
18,41,No binario,No,30,2,2.7,4.1,RRHH,8,1.8,No
18,29,Mujer,No,29,5,5.6,0.3,Ventas,8,0.7,Sí
24,28,Hombre,No,24,4,4.9,0.9,Marketing,6,9.5,Sí
31,24,Mujer,No,19,9,3.4,1.7,Ventas,1,3.0,Sí
24,38,Hombre,Sí,21,10,9.5,1.7,Operaciones,10,4.0,No
22,54,No binario,No,23,1,11.4,5.6,Ventas,6,8.0,No
28,33,Mujer,Sí,24,6,15.3,0.1,IT,10,1.1,No
31,43,Hombre,No,18,3,28.9,7.0,IT,7,2.0,No
26,43,Mujer,Sí,1,9,2.5,1.5,IT,9,0.4,No
26,51,Hombre,Sí,21,5,10.1,1.9,IT,8,3.2,No
24,59,No binario,No,19,6,4.0,3.8,IT,8,1.8,No
22,59,No binario,Sí,0,9,9.0,1.2,IT,7,1.7,Sí
30,29,Mujer,Sí,7,9,5.2,10.8,IT,2,2.7,No
42,48,Hombre,Sí,24,8,30.0,0.4,IT,1,4.8,No
31,48,Mujer,Sí,13,9,10.4,2.9,IT,2,1.3,No
25,55,Hombre,Sí,8,4,24.4,9.5,Ventas,6,9.5,No
30,42,Hombre,Sí,1,6,14.4,4.8,Operaciones,2,4.9,Sí
30,51,Mujer,No,24,5,18.7,1.7,IT,10,4.5,No
31,54,Hombre,Sí,22,5,13.5,2.7,Ventas,4,2.6,No
26,49,Hombre,No,4,4,4.9,6.1,IT,10,5.5,Sí
27,54,No binario,Sí,22,2,2.3,18.1,Operaciones,3,1.8,Sí
16,26,Hombre,No,28,6,3.7,11.2,Ventas,6,2.0,No
27,40,Hombre,No,24,9,0.2,2.1,Marketing,8,5.1,Sí
18,25,Mujer,Sí,7,1,5.9,31.6,IT,6,8.4,Sí
31,56,Hombre,No,15,7,5.6,0.0,Ventas,2,1.1,Sí
29,38,Mujer,No,21,6,6.0,0.1,RRHH,5,5.9,Sí
29,65,No binario,No,15,3,29.2,8.7,IT,6,1.4,Sí
23,49,Mujer,No,12,1,19.4,1.1,IT,9,2.5,No
22,51,Mujer,Sí,19,4,1.4,0.3,RRHH,6,1.4,Sí
28,50,Hombre,No,28,9,3.7,1.4,Marketing,10,0.4,No
22,27,Hombre,No,14,2,4.4,2.8,Operaciones,5,4.2,Sí
21,56,Mujer,No,0,3,3.6,6.6,Marketing,1,9.0,No
25,62,Mujer,Sí,21,2,12.8,4.9,Marketing,10,3.1,No
22,58,Mujer,No,2,2,5.9,1.4,RRHH,5,7.3,No
31,45,Hombre,No,5,10,6.8,3.5,Ventas,5,1.0,No
26,50,Hombre,Sí,21,8,15.3,13.0,RRHH,6,7.5,No
22,52,Hombre,Sí,13,3,13.1,8.4,Marketing,7,0.2,No
25,56,Mujer,Sí,3,7,1.1,2.0,Ventas,4,2.4,No
25,54,Hombre,No,17,8,10.0,20.2,IT,7,0.4,Sí
19,42,Mujer,No,14,3,4.6,6.2,Ventas,5,3.5,No
18,53,Mujer,No,8,2,2.8,0.3,Marketing,6,2.0,No
28,44,Hombre,No,17,8,0.4,0.2,IT,4,5.2,No
20,54,Mujer,No,2,3,5.3,0.9,Operaciones,8,4.1,No
24,24,Hombre,Sí,9,7,3.5,6.5,Ventas,9,4.4,No
21,39,Mujer,No,16,1,2.3,1.0,Marketing,2,2.8,Sí
24,46,Mujer,No,6,6,9.5,3.6,Ventas,4,8.8,No
32,63,Mujer,No,14,9,11.7,0.5,Marketing,8,1.0,No
20,52,Mujer,No,0,3,2.2,12.7,Marketing,8,6.6,No
17,24,Hombre,No,26,7,0.4,2.1,Marketing,9,4.1,No
26,61,Hombre,No,24,6,15.1,11.9,RRHH,3,5.5,No
26,45,Mujer,No,26,8,0.1,14.5,Operaciones,1,9.4,Sí
23,53,Hombre,No,10,3,22.1,0.0,Ventas,9,6.2,No
23,43,Hombre,No,16,3,7.9,3.1,IT,1,4.6,No
23,44,Hombre,Sí,4,4,3.1,0.1,Marketing,3,6.4,No
24,23,Mujer,Sí,6,3,2.3,12.0,IT,3,6.3,No
24,48,Hombre,Sí,18,9,0.1,3.7,Ventas,9,1.9,No
26,63,Mujer,No,24,4,2.1,0.4,IT,1,1.3,No
20,23,No binario,Sí,23,6,1.2,0.6,IT,7,3.0,No
29,47,Hombre,Sí,28,8,7.6,2.4,IT,2,4.4,No
21,38,Hombre,Sí,14,8,1.5,14.1,RRHH,7,4.1,Sí
24,61,Hombre,Sí,2,5,6.0,5.9,IT,1,5.3,No
24,54,Mujer,No,14,5,7.1,10.1,Ventas,10,5.3,No
25,30,Hombre,Sí,4,6,2.8,2.3,Ventas,10,6.3,No
31,64,Hombre,No,22,10,0.3,0.2,Operaciones,8,3.1,Sí
20,60,Hombre,No,11,7,0.3,18.3,Operaciones,10,9.3,No
26,50,Mujer,No,29,10,0.2,0.1,Marketing,10,1.1,No
30,63,Hombre,Sí,19,7,10.7,14.7,IT,2,3.4,No
24,47,Mujer,No,4,4,3.1,2.3,Operaciones,3,2.2,No
28,56,Mujer,No,2,6,12.7,0.1,Marketing,8,4.4,No
27,46,Hombre,No,8,7,4.5,5.8,RRHH,3,4.9,No
26,45,Mujer,No,25,5,4.8,19.7,RRHH,1,4.4,No
25,34,Hombre,Sí,8,5,5.8,16.9,IT,9,2.8,No
26,28,Mujer,Sí,6,2,10.0,0.9,IT,8,3.9,Sí
29,57,Mujer,Sí,25,7,2.6,1.0,Ventas,4,0.5,No
18,41,Mujer,No,1,6,1.0,4.2,IT,8,4.1,No
18,22,Hombre,Sí,22,1,6.5,5.1,RRHH,5,8.2,No
21,29,Hombre,Sí,22,4,3.2,6.7,Operaciones,3,1.5,No
27,37,Hombre,No,26,3,4.7,1.0,Marketing,1,1.6,Sí
19,35,Hombre,Sí,20,3,8.3,16.0,IT,10,0.2,Sí
27,33,Hombre,Sí,15,7,5.5,5.1,Ventas,5,2.5,No
30,44,Hombre,No,8,10,7.7,9.4,Ventas,6,5.2,No
